vel,flux,err
-1.399696e+03,4.630779e-04,3.000000e-04
-1.393112e+03,-1.186837e-04,3.000000e-04
-1.385797e+03,2.830963e-04,3.000000e-04
-1.379213e+03,-1.913637e-04,3.000000e-04
-1.371897e+03,-4.857550e-04,3.000000e-04
-1.365313e+03,-4.792392e-05,3.000000e-04
-1.357997e+03,3.481600e-04,3.000000e-04
-1.351413e+03,8.134638e-05,3.000000e-04
-1.344097e+03,-2.173528e-05,3.000000e-04
-1.337513e+03,-1.508425e-04,3.000000e-04
-1.330198e+03,3.720339e-04,3.000000e-04
-1.323614e+03,-1.225728e-05,3.000000e-04
-1.316298e+03,2.975186e-04,3.000000e-04
-1.308982e+03,-5.395066e-04,3.000000e-04
-1.302398e+03,-1.813853e-04,3.000000e-04
-1.295083e+03,3.916885e-04,3.000000e-04
-1.288499e+03,1.200790e-04,3.000000e-04
-1.281183e+03,-2.330970e-04,3.000000e-04
-1.274599e+03,3.983675e-04,3.000000e-04
-1.267283e+03,3.012398e-04,3.000000e-04
-1.260699e+03,-2.380775e-04,3.000000e-04
-1.253383e+03,-3.606469e-04,3.000000e-04
-1.246799e+03,6.148732e-04,3.000000e-04
-1.239484e+03,-2.474589e-06,3.000000e-04
-1.232900e+03,2.634735e-04,3.000000e-04
-1.225584e+03,1.427623e-04,3.000000e-04
-1.219000e+03,-5.564851e-04,3.000000e-04
-1.211684e+03,-5.024094e-05,3.000000e-04
-1.205100e+03,1.964944e-04,3.000000e-04
-1.197785e+03,-6.249702e-04,3.000000e-04
-1.190469e+03,7.271721e-04,3.000000e-04
-1.183885e+03,4.132602e-04,3.000000e-04
-1.176569e+03,-5.639813e-06,3.000000e-04
-1.169985e+03,4.203164e-04,3.000000e-04
-1.162669e+03,-2.101282e-04,3.000000e-04
-1.156085e+03,-2.394895e-04,3.000000e-04
-1.148770e+03,-1.301298e-04,3.000000e-04
-1.142186e+03,1.947139e-04,3.000000e-04
-1.134870e+03,-6.798073e-05,3.000000e-04
-1.128286e+03,-1.060154e-04,3.000000e-04
-1.120970e+03,-4.131887e-06,3.000000e-04
-1.114386e+03,4.547296e-04,3.000000e-04
