vel,flux
-1.399696e+03,-0.000000e+00
-1.393112e+03,-0.000000e+00
-1.385797e+03,-0.000000e+00
-1.379213e+03,0.000000e+00
-1.371897e+03,0.000000e+00
-1.365313e+03,0.000000e+00
-1.357997e+03,-0.000000e+00
-1.351413e+03,0.000000e+00
-1.344097e+03,-0.000000e+00
-1.337513e+03,0.000000e+00
-1.330198e+03,-0.000000e+00
-1.323614e+03,0.000000e+00
-1.316298e+03,0.000000e+00
-1.308982e+03,-0.000000e+00
-1.302398e+03,-0.000000e+00
-1.295083e+03,-0.000000e+00
-1.288499e+03,0.000000e+00
-1.281183e+03,-0.000000e+00
-1.274599e+03,-0.000000e+00
-1.267283e+03,-0.000000e+00
-1.260699e+03,-0.000000e+00
-1.253383e+03,-0.000000e+00
-1.246799e+03,-0.000000e+00
-1.239484e+03,-0.000000e+00
-1.232900e+03,0.000000e+00
-1.225584e+03,-0.000000e+00
-1.219000e+03,-0.000000e+00
-1.211684e+03,-0.000000e+00
-1.205100e+03,0.000000e+00
-1.197785e+03,-0.000000e+00
-1.190469e+03,0.000000e+00
-1.183885e+03,-0.000000e+00
-1.176569e+03,-0.000000e+00
-1.169985e+03,0.000000e+00
-1.162669e+03,-0.000000e+00
-1.156085e+03,-0.000000e+00
-1.148770e+03,0.000000e+00
-1.142186e+03,0.000000e+00
-1.134870e+03,0.000000e+00
-1.128286e+03,0.000000e+00
-1.120970e+03,-0.000000e+00
-1.114386e+03,0.000000e+00
-1.107071e+03,0.000000e+00
-1.100486e+03,0.000000e+00
-1.093171e+03,0.000000e+00
-1.085855e+03,0.000000e+00
-1.079271e+03,0.000000e+00
-1.071955e+03,-0.000000e+00
-1.065371e+03,0.000000e+00
-1.058056e+03,0.000000e+00
-1.051472e+03,-0.000000e+00
-1.044156e+03,0.000000e+00
-1.037572e+03,0.000000e+00
-1.030256e+03,-0.000000e+00
-1.023672e+03,-0.000000e+00
-1.016357e+03,-0.000000e+00
-1.009772e+03,0.000000e+00
-1.002457e+03,-0.000000e+00
-9.958727e+02,0.000000e+00
-9.885571e+02,-0.000000e+00
-9.812414e+02,0.000000e+00
-9.746573e+02,0.000000e+00
-9.673417e+02,0.000000e+00
-9.607576e+02,0.000000e+00
-9.534420e+02,-0.000000e+00
-9.468579e+02,0.000000e+00
-9.395422e+02,-0.000000e+00
-9.329582e+02,0.000000e+00
-9.256425e+02,0.000000e+00
-9.190584e+02,0.000000e+00
-9.117428e+02,-0.000000e+00
-9.051587e+02,0.000000e+00
-8.978431e+02,-0.000000e+00
-8.905274e+02,-0.000000e+00
-8.839433e+02,-0.000000e+00
-8.766277e+02,0.000000e+00
-8.700436e+02,-0.000000e+00
-8.627280e+02,-0.000000e+00
-8.561439e+02,0.000000e+00
-8.488282e+02,-0.000000e+00
-8.422441e+02,-0.000000e+00
-8.349285e+02,0.000000e+00
-8.283444e+02,0.000000e+00
-8.210288e+02,-0.000000e+00
-8.144447e+02,-0.000000e+00
-8.071290e+02,0.000000e+00
-7.998134e+02,-0.000000e+00
-7.932293e+02,-0.000000e+00
-7.859137e+02,-0.000000e+00
-7.793296e+02,-0.000000e+00
-7.720139e+02,-0.000000e+00
-7.654299e+02,0.000000e+00
-7.581142e+02,0.000000e+00
-7.515301e+02,0.000000e+00
-7.442145e+02,0.000000e+00
-7.376304e+02,-0.000000e+00
-7.303148e+02,-0.000000e+00
-7.229991e+02,-0.000000e+00
-7.164150e+02,0.000000e+00
-7.090994e+02,-0.000000e+00
-7.025153e+02,0.000000e+00
-6.951997e+02,0.000000e+00
-6.886156e+02,-0.000000e+00
-6.812999e+02,-0.000000e+00
-6.747159e+02,-0.000000e+00
-6.674002e+02,-0.000000e+00
-6.608161e+02,0.000000e+00
-6.535005e+02,0.000000e+00
-6.461848e+02,-0.000000e+00
-6.396008e+02,0.000000e+00
-6.322851e+02,-0.000000e+00
-6.257010e+02,0.000000e+00
-6.183854e+02,-0.000000e+00
-6.118013e+02,-0.000000e+00
-6.044857e+02,-0.000000e+00
-5.979016e+02,-0.000000e+00
-5.905859e+02,0.000000e+00
-5.832703e+02,-0.000000e+00
-5.766862e+02,0.000000e+00
-5.693706e+02,0.000000e+00
-5.627865e+02,0.000000e+00
-5.554708e+02,0.000000e+00
-5.488867e+02,0.000000e+00
-5.415711e+02,-0.000000e+00
-5.349870e+02,0.000000e+00
-5.276714e+02,0.000000e+00
-5.210873e+02,0.000000e+00
-5.137716e+02,0.000000e+00
-5.064560e+02,0.000000e+00
-4.998719e+02,0.000000e+00
-4.925563e+02,0.000000e+00
-4.859722e+02,0.000000e+00
-4.786565e+02,0.000000e+00
-4.720725e+02,0.000000e+00
-4.647568e+02,0.000000e+00
-4.581727e+02,0.000000e+00
-4.508571e+02,0.000000e+00
-4.435414e+02,0.000000e+00
-4.369574e+02,0.000000e+00
-4.296417e+02,0.000000e+00
-4.230576e+02,0.000000e+00
-4.157420e+02,0.000000e+00
-4.091579e+02,0.000000e+00
-4.018423e+02,0.000000e+00
-3.952582e+02,0.000000e+00
-3.879425e+02,0.000000e+00
-3.806269e+02,0.000000e+00
-3.740428e+02,0.000000e+00
-3.667272e+02,0.000000e+00
-3.601431e+02,0.000000e+00
-3.528274e+02,0.000000e+00
-3.462433e+02,0.000000e+00
-3.389277e+02,0.000000e+00
-3.323436e+02,0.000000e+00
-3.250280e+02,0.000000e+00
-3.177123e+02,0.000000e+00
-3.111282e+02,0.000000e+00
-3.038126e+02,0.000000e+00
-2.972285e+02,0.000000e+00
-2.899129e+02,0.000000e+00
-2.833288e+02,0.000000e+00
-2.760131e+02,0.000000e+00
-2.694291e+02,0.000000e+00
-2.621134e+02,0.000000e+00
-2.547978e+02,0.000000e+00
-2.482137e+02,0.000000e+00
-2.408980e+02,0.000000e+00
-2.343140e+02,0.000000e+00
-2.269983e+02,0.000000e+00
-2.204142e+02,0.000000e+00
-2.130986e+02,0.000000e+00
-2.057829e+02,0.000000e+00
-1.991989e+02,0.000000e+00
-1.918832e+02,0.000000e+00
-1.852991e+02,0.000000e+00
-1.779835e+02,0.000000e+00
-1.713994e+02,0.000000e+00
-1.640838e+02,0.000000e+00
-1.574997e+02,0.000000e+00
-1.501840e+02,0.000000e+00
-1.428684e+02,0.000000e+00
-1.362843e+02,0.000000e+00
-1.289687e+02,0.000000e+00
-1.223846e+02,0.000000e+00
-1.150689e+02,0.000000e+00
-1.084849e+02,0.000000e+00
-1.011692e+02,0.000000e+00
-9.385356e+01,0.000000e+00
-8.726948e+01,0.000000e+00
-7.995383e+01,-0.000000e+00
-7.336975e+01,0.000000e+00
-6.605411e+01,0.000000e+00
-5.947002e+01,-0.000000e+00
-5.215438e+01,0.000000e+00
-4.483873e+01,-0.000000e+00
-3.825465e+01,-0.000000e+00
-3.093900e+01,-0.000000e+00
-2.435492e+01,-0.000000e+00
-1.703928e+01,0.000000e+00
-1.045520e+01,0.000000e+00
-3.139550e+00,0.000000e+00
3.444531e+00,0.000000e+00
1.076018e+01,0.000000e+00
1.807582e+01,0.000000e+00
2.465990e+01,0.000000e+00
3.197555e+01,0.000000e+00
3.855963e+01,0.000000e+00
4.587528e+01,0.000000e+00
5.245936e+01,0.000000e+00
5.977501e+01,0.000000e+00
6.709065e+01,0.000000e+00
7.367473e+01,0.000000e+00
8.099038e+01,0.000000e+00
8.757446e+01,0.000000e+00
9.489011e+01,0.000000e+00
1.014742e+02,0.000000e+00
1.087898e+02,0.000000e+00
1.161055e+02,0.000000e+00
1.226896e+02,0.000000e+00
1.300052e+02,0.000000e+00
1.365893e+02,0.000000e+00
1.439049e+02,0.000000e+00
1.504890e+02,0.000000e+00
1.578047e+02,0.000000e+00
1.651203e+02,0.000000e+00
1.717044e+02,0.000000e+00
1.790200e+02,0.000000e+00
1.856041e+02,0.000000e+00
1.929198e+02,0.000000e+00
1.995038e+02,0.000000e+00
2.068195e+02,0.000000e+00
2.141351e+02,0.000000e+00
2.207192e+02,0.000000e+00
2.280349e+02,0.000000e+00
2.346189e+02,0.000000e+00
2.419346e+02,0.000000e+00
2.492502e+02,0.000000e+00
2.558343e+02,0.000000e+00
2.631500e+02,0.000000e+00
2.697340e+02,0.000000e+00
2.770497e+02,0.000000e+00
2.836338e+02,0.000000e+00
2.909494e+02,0.000000e+00
2.982651e+02,0.000000e+00
3.048491e+02,0.000000e+00
3.121648e+02,0.000000e+00
3.187489e+02,0.000000e+00
3.260645e+02,0.000000e+00
3.326486e+02,0.000000e+00
3.399642e+02,0.000000e+00
3.472799e+02,0.000000e+00
3.538640e+02,0.000000e+00
3.611796e+02,0.000000e+00
3.677637e+02,0.000000e+00
3.750793e+02,0.000000e+00
3.823950e+02,0.000000e+00
3.889791e+02,0.000000e+00
3.962947e+02,0.000000e+00
4.028788e+02,0.000000e+00
4.101944e+02,0.000000e+00
4.167785e+02,0.000000e+00
4.240942e+02,0.000000e+00
4.314098e+02,0.000000e+00
4.379939e+02,0.000000e+00
4.453095e+02,0.000000e+00
4.518936e+02,0.000000e+00
4.592093e+02,0.000000e+00
4.657934e+02,0.000000e+00
4.731090e+02,0.000000e+00
4.804247e+02,0.000000e+00
4.870087e+02,0.000000e+00
4.943244e+02,0.000000e+00
5.009085e+02,0.000000e+00
5.082241e+02,0.000000e+00
5.155398e+02,0.000000e+00
5.221238e+02,0.000000e+00
5.294395e+02,0.000000e+00
5.360236e+02,0.000000e+00
5.433392e+02,0.000000e+00
5.506549e+02,0.000000e+00
5.572389e+02,0.000000e+00
5.645546e+02,0.000000e+00
5.711387e+02,0.000000e+00
5.784543e+02,0.000000e+00
5.850384e+02,0.000000e+00
5.923540e+02,0.000000e+00
5.996697e+02,0.000000e+00
6.062538e+02,0.000000e+00
6.135694e+02,0.000000e+00
6.201535e+02,0.000000e+00
6.274691e+02,0.000000e+00
6.347848e+02,0.000000e+00
6.413689e+02,0.000000e+00
6.486845e+02,0.000000e+00
6.552686e+02,0.000000e+00
6.625842e+02,0.000000e+00
6.698999e+02,0.000000e+00
6.764840e+02,0.000000e+00
6.837996e+02,0.000000e+00
6.903837e+02,0.000000e+00
6.976993e+02,0.000000e+00
7.042834e+02,0.000000e+00
7.115991e+02,0.000000e+00
7.189147e+02,0.000000e+00
7.254988e+02,0.000000e+00
7.328144e+02,0.000000e+00
7.393985e+02,0.000000e+00
7.467142e+02,0.000000e+00
7.540298e+02,0.000000e+00
7.606139e+02,0.000000e+00
7.679295e+02,0.000000e+00
7.745136e+02,0.000000e+00
7.818293e+02,0.000000e+00
7.891449e+02,0.000000e+00
7.957290e+02,0.000000e+00
8.030446e+02,0.000000e+00
8.096287e+02,0.000000e+00
8.169444e+02,0.000000e+00
8.242600e+02,0.000000e+00
8.308441e+02,0.000000e+00
8.381597e+02,0.000000e+00
8.447438e+02,0.000000e+00
8.520595e+02,0.000000e+00
8.593751e+02,0.000000e+00
8.659592e+02,0.000000e+00
8.732748e+02,0.000000e+00
8.798589e+02,0.000000e+00
8.871746e+02,0.000000e+00
8.937586e+02,0.000000e+00
9.010743e+02,0.000000e+00
9.083899e+02,0.000000e+00
9.149740e+02,0.000000e+00
9.222897e+02,0.000000e+00
9.288737e+02,0.000000e+00
9.361894e+02,0.000000e+00
9.435050e+02,0.000000e+00
9.500891e+02,0.000000e+00
9.574048e+02,0.000000e+00
9.639889e+02,0.000000e+00
9.713045e+02,0.000000e+00
9.786201e+02,0.000000e+00
9.852042e+02,0.000000e+00
9.925199e+02,0.000000e+00
9.991040e+02,0.000000e+00
1.006420e+03,0.000000e+00
1.013735e+03,0.000000e+00
1.020319e+03,0.000000e+00
1.027635e+03,-0.000000e+00
1.034219e+03,-0.000000e+00
1.041535e+03,0.000000e+00
1.048850e+03,0.000000e+00
1.055434e+03,0.000000e+00
1.062750e+03,-0.000000e+00
1.069334e+03,0.000000e+00
1.076650e+03,0.000000e+00
1.083965e+03,0.000000e+00
1.090550e+03,0.000000e+00
1.097865e+03,0.000000e+00
1.105181e+03,0.000000e+00
1.111765e+03,-0.000000e+00
1.119081e+03,0.000000e+00
1.125665e+03,0.000000e+00
1.132980e+03,0.000000e+00
1.140296e+03,-0.000000e+00
1.146880e+03,-0.000000e+00
1.154196e+03,0.000000e+00
1.160780e+03,0.000000e+00
1.168095e+03,0.000000e+00
1.175411e+03,0.000000e+00
1.181995e+03,-0.000000e+00
1.189311e+03,-0.000000e+00
1.195895e+03,-0.000000e+00
1.203210e+03,-0.000000e+00
1.210526e+03,-0.000000e+00
1.217110e+03,0.000000e+00
1.224426e+03,-0.000000e+00
1.231010e+03,0.000000e+00
1.238326e+03,-0.000000e+00
1.245641e+03,-0.000000e+00
1.252225e+03,-0.000000e+00
1.259541e+03,0.000000e+00
1.266125e+03,0.000000e+00
1.273441e+03,0.000000e+00
1.280756e+03,-0.000000e+00
1.287340e+03,-0.000000e+00
1.294656e+03,0.000000e+00
1.301240e+03,0.000000e+00
1.308556e+03,-0.000000e+00
1.315871e+03,0.000000e+00
1.322456e+03,-0.000000e+00
1.329771e+03,0.000000e+00
1.337087e+03,0.000000e+00
1.343671e+03,0.000000e+00
1.350987e+03,-0.000000e+00
1.357571e+03,0.000000e+00
1.364886e+03,0.000000e+00
1.372202e+03,-0.000000e+00
1.378786e+03,0.000000e+00
1.386102e+03,0.000000e+00
1.392686e+03,0.000000e+00
