vel,flux
-1.399696e+03,5.963535e-06
-1.393112e+03,2.343715e-07
-1.385797e+03,7.844493e-06
-1.379213e+03,5.000626e-07
-1.371897e+03,3.133994e-06
-1.365313e+03,5.997072e-06
-1.357997e+03,-5.460512e-06
-1.351413e+03,4.474116e-06
-1.344097e+03,-6.700032e-06
-1.337513e+03,-5.118691e-07
-1.330198e+03,-5.245461e-06
-1.323614e+03,5.225634e-06
-1.316298e+03,-1.147236e-06
-1.308982e+03,-7.526213e-06
-1.302398e+03,-4.711205e-06
-1.295083e+03,-3.280532e-06
-1.288499e+03,1.250517e-06
-1.281183e+03,-3.305796e-06
-1.274599e+03,-7.913675e-06
-1.267283e+03,7.116339e-06
-1.260699e+03,5.392068e-07
-1.253383e+03,-5.375971e-06
-1.246799e+03,-5.585785e-06
-1.239484e+03,-9.236663e-06
-1.232900e+03,5.016265e-06
-1.225584e+03,-5.930211e-06
-1.219000e+03,-4.327070e-06
-1.211684e+03,-3.437133e-06
-1.205100e+03,-8.109913e-08
-1.197785e+03,6.256859e-06
-1.190469e+03,-2.000284e-06
-1.183885e+03,9.792764e-07
-1.176569e+03,5.666735e-06
-1.169985e+03,7.332659e-06
-1.162669e+03,-3.898183e-06
-1.156085e+03,-3.998408e-06
-1.148770e+03,5.011604e-06
-1.142186e+03,6.180939e-06
-1.134870e+03,-3.329594e-06
-1.128286e+03,9.990124e-06
-1.120970e+03,-4.219946e-06
-1.114386e+03,-2.961705e-06
-1.107071e+03,1.069209e-05
-1.100486e+03,-6.044363e-06
-1.093171e+03,1.556079e-05
-1.085855e+03,-3.383905e-06
-1.079271e+03,1.394058e-06
-1.071955e+03,6.962952e-06
-1.065371e+03,-4.151134e-06
-1.058056e+03,5.109675e-06
-1.051472e+03,7.154509e-07
-1.044156e+03,-3.187075e-06
-1.037572e+03,6.291003e-06
-1.030256e+03,-5.230937e-06
-1.023672e+03,-6.481816e-06
-1.016357e+03,-1.974041e-06
-1.009772e+03,8.017188e-06
-1.002457e+03,-3.506141e-06
-9.958727e+02,1.282788e-05
-9.885571e+02,-4.603680e-06
-9.812414e+02,6.701487e-07
-9.746573e+02,-7.067152e-06
-9.673417e+02,2.887280e-07
-9.607576e+02,-2.576119e-06
-9.534420e+02,3.684938e-06
-9.468579e+02,5.571489e-06
-9.395422e+02,-1.270723e-06
-9.329582e+02,3.340350e-06
-9.256425e+02,-2.803705e-06
-9.190584e+02,-1.954129e-06
-9.117428e+02,3.717886e-06
-9.051587e+02,8.702995e-07
-8.978431e+02,7.044272e-06
-8.905274e+02,-2.232321e-06
-8.839433e+02,6.990291e-06
-8.766277e+02,6.663056e-06
-8.700436e+02,8.692114e-06
-8.627280e+02,-2.943709e-08
-8.561439e+02,-1.066019e-06
-8.488282e+02,-6.835264e-06
-8.422441e+02,-7.532794e-06
-8.349285e+02,1.571720e-06
-8.283444e+02,6.336753e-06
-8.210288e+02,-1.275081e-06
-8.144447e+02,-4.902035e-06
-8.071290e+02,2.744941e-06
-7.998134e+02,-6.820433e-06
-7.932293e+02,-3.744926e-06
-7.859137e+02,-9.843160e-06
-7.793296e+02,-6.768842e-06
-7.720139e+02,2.943446e-06
-7.654299e+02,-5.007762e-06
-7.581142e+02,-3.104946e-06
-7.515301e+02,6.580859e-06
-7.442145e+02,1.508286e-06
-7.376304e+02,-3.293259e-06
-7.303148e+02,-1.239315e-06
-7.229991e+02,-2.586842e-06
-7.164150e+02,6.691907e-06
-7.090994e+02,-4.708265e-06
-7.025153e+02,4.620620e-06
-6.951997e+02,-3.102256e-07
-6.886156e+02,1.043309e-06
-6.812999e+02,2.742323e-06
-6.747159e+02,-1.913024e-06
-6.674002e+02,3.318252e-06
-6.608161e+02,4.158158e-07
-6.535005e+02,1.850702e-06
-6.461848e+02,-7.083832e-06
-6.396008e+02,-2.623333e-07
-6.322851e+02,-2.733830e-06
-6.257010e+02,7.196812e-06
-6.183854e+02,2.094684e-06
-6.118013e+02,7.187640e-06
-6.044857e+02,-9.321622e-06
-5.979016e+02,6.190662e-06
-5.905859e+02,4.203631e-06
-5.832703e+02,6.798869e-06
-5.766862e+02,-1.202885e-06
-5.693706e+02,-4.417443e-06
-5.627865e+02,6.080893e-06
-5.554708e+02,3.037143e-06
-5.488867e+02,-7.057019e-06
-5.415711e+02,-4.640518e-06
-5.349870e+02,-1.897877e-06
-5.276714e+02,3.048154e-06
-5.210873e+02,2.109129e-06
-5.137716e+02,3.677749e-07
-5.064560e+02,8.623862e-06
-4.998719e+02,4.875606e-06
-4.925563e+02,1.603395e-06
-4.859722e+02,-2.090730e-07
-4.786565e+02,7.899534e-07
-4.720725e+02,-5.751440e-06
-4.647568e+02,-1.043890e-05
-4.581727e+02,-1.205830e-05
-4.508571e+02,-5.157416e-06
-4.435414e+02,-1.298689e-05
-4.369574e+02,-1.198552e-06
-4.296417e+02,-5.560500e-06
-4.230576e+02,-1.553383e-05
-4.157420e+02,-8.467972e-06
-4.091579e+02,-5.120454e-06
-4.018423e+02,-1.011468e-05
-3.952582e+02,-8.622450e-06
-3.879425e+02,-8.195512e-06
-3.806269e+02,-4.465126e-06
-3.740428e+02,-1.693136e-06
-3.667272e+02,-1.740609e-06
-3.601431e+02,1.005477e-05
-3.528274e+02,6.987543e-06
-3.462433e+02,9.341437e-06
-3.389277e+02,2.412912e-05
-3.323436e+02,3.824453e-05
-3.250280e+02,6.210823e-05
-3.177123e+02,1.016009e-04
-3.111282e+02,1.494483e-04
-3.038126e+02,1.930479e-04
-2.972285e+02,2.551227e-04
-2.899129e+02,3.316935e-04
-2.833288e+02,4.090919e-04
-2.760131e+02,5.271827e-04
-2.694291e+02,6.490734e-04
-2.621134e+02,7.928013e-04
-2.547978e+02,9.610285e-04
-2.482137e+02,1.129038e-03
-2.408980e+02,1.333318e-03
-2.343140e+02,1.533812e-03
-2.269983e+02,1.752156e-03
-2.204142e+02,1.945888e-03
-2.130986e+02,2.166109e-03
-2.057829e+02,2.401418e-03
-1.991989e+02,2.583495e-03
-1.918832e+02,2.746083e-03
-1.852991e+02,2.870076e-03
-1.779835e+02,2.944890e-03
-1.713994e+02,2.997709e-03
-1.640838e+02,2.987589e-03
-1.574997e+02,2.931581e-03
-1.501840e+02,2.837092e-03
-1.428684e+02,2.692976e-03
-1.362843e+02,2.560991e-03
-1.289687e+02,2.384258e-03
-1.223846e+02,2.205531e-03
-1.150689e+02,2.034263e-03
-1.084849e+02,1.868773e-03
-1.011692e+02,1.633976e-03
-9.385356e+01,1.385109e-03
-8.726948e+01,1.313109e-03
-7.995383e+01,1.240440e-03
-7.336975e+01,1.050588e-03
-6.605411e+01,6.700402e-04
-5.947002e+01,2.964163e-04
-5.215438e+01,5.875965e-05
-4.483873e+01,-1.616895e-05
-3.825465e+01,-1.680816e-05
-3.093900e+01,-9.617883e-06
-2.435492e+01,-8.261121e-06
-1.703928e+01,-1.109642e-05
-1.045520e+01,-1.076281e-05
-3.139550e+00,2.960107e-06
3.444531e+00,-2.227925e-06
1.076018e+01,-6.239885e-06
1.807582e+01,1.557739e-05
2.465990e+01,1.044763e-04
3.197555e+01,4.505783e-04
3.855963e+01,9.352368e-04
4.587528e+01,1.238089e-03
5.245936e+01,1.296347e-03
5.977501e+01,1.453690e-03
6.709065e+01,1.712198e-03
7.367473e+01,1.955851e-03
8.099038e+01,2.267347e-03
8.757446e+01,2.578423e-03
9.489011e+01,2.946414e-03
1.014742e+02,3.291900e-03
1.087898e+02,3.674911e-03
1.161055e+02,4.084940e-03
1.226896e+02,4.457540e-03
1.300052e+02,4.899046e-03
1.365893e+02,5.293440e-03
1.439049e+02,5.719279e-03
1.504890e+02,6.120088e-03
1.578047e+02,6.528514e-03
1.651203e+02,6.913518e-03
1.717044e+02,7.219071e-03
1.790200e+02,7.479500e-03
1.856041e+02,7.660072e-03
1.929198e+02,7.782759e-03
1.995038e+02,7.827703e-03
2.068195e+02,7.802413e-03
2.141351e+02,7.706126e-03
2.207192e+02,7.565491e-03
2.280349e+02,7.344445e-03
2.346189e+02,7.129868e-03
2.419346e+02,6.837580e-03
2.492502e+02,6.516799e-03
2.558343e+02,6.215333e-03
2.631500e+02,5.857087e-03
2.697340e+02,5.498459e-03
2.770497e+02,5.107552e-03
2.836338e+02,4.754495e-03
2.909494e+02,4.379179e-03
2.982651e+02,4.003753e-03
3.048491e+02,3.671505e-03
3.121648e+02,3.319557e-03
3.187489e+02,2.999994e-03
3.260645e+02,2.661807e-03
3.326486e+02,2.399495e-03
3.399642e+02,2.131263e-03
3.472799e+02,1.867201e-03
3.538640e+02,1.663963e-03
3.611796e+02,1.440940e-03
3.677637e+02,1.268148e-03
3.750793e+02,1.098745e-03
3.823950e+02,9.411146e-04
3.889791e+02,8.155571e-04
3.962947e+02,6.877902e-04
4.028788e+02,5.856534e-04
4.101944e+02,4.975480e-04
4.167785e+02,4.322601e-04
4.240942e+02,3.586680e-04
4.314098e+02,3.037675e-04
4.379939e+02,2.530867e-04
4.453095e+02,2.140009e-04
4.518936e+02,1.793829e-04
4.592093e+02,1.491976e-04
4.657934e+02,1.229833e-04
4.731090e+02,9.864567e-05
4.804247e+02,8.242111e-05
4.870087e+02,6.534042e-05
4.943244e+02,5.830526e-05
5.009085e+02,4.608581e-05
5.082241e+02,3.735391e-05
5.155398e+02,3.222348e-05
5.221238e+02,2.082415e-05
5.294395e+02,1.850992e-05
5.360236e+02,1.395587e-05
5.433392e+02,1.384858e-05
5.506549e+02,3.731114e-06
5.572389e+02,1.007013e-05
5.645546e+02,1.845767e-06
5.711387e+02,4.541903e-06
5.784543e+02,-4.045273e-08
5.850384e+02,2.917196e-07
5.923540e+02,6.848911e-06
5.996697e+02,1.694688e-05
6.062538e+02,8.326950e-06
6.135694e+02,-2.716202e-06
6.201535e+02,1.549538e-05
6.274691e+02,2.830365e-06
6.347848e+02,3.700482e-06
6.413689e+02,-3.533550e-06
6.486845e+02,-8.465259e-07
6.552686e+02,-1.431860e-06
6.625842e+02,-1.095280e-06
6.698999e+02,6.257537e-06
6.764840e+02,-1.144496e-06
6.837996e+02,-1.873480e-05
6.903837e+02,8.442705e-07
6.976993e+02,8.150506e-06
7.042834e+02,-3.727818e-07
7.115991e+02,3.178670e-06
7.189147e+02,4.310540e-06
7.254988e+02,5.835605e-06
7.328144e+02,5.010822e-06
7.393985e+02,8.880880e-06
7.467142e+02,6.317905e-06
7.540298e+02,-8.372815e-07
7.606139e+02,6.707186e-06
7.679295e+02,1.338396e-05
7.745136e+02,4.294362e-06
7.818293e+02,-1.061829e-06
7.891449e+02,5.252160e-06
7.957290e+02,2.388021e-06
8.030446e+02,1.167403e-06
8.096287e+02,-3.423349e-06
8.169444e+02,-2.727505e-06
8.242600e+02,1.765797e-05
8.308441e+02,5.983400e-06
8.381597e+02,4.174968e-06
8.447438e+02,5.166352e-06
8.520595e+02,1.013659e-05
8.593751e+02,6.617545e-06
8.659592e+02,-1.451946e-06
8.732748e+02,6.386985e-06
8.798589e+02,1.068085e-05
8.871746e+02,-7.351686e-06
8.937586e+02,5.640070e-06
9.010743e+02,5.914141e-06
9.083899e+02,-5.726179e-06
9.149740e+02,-5.260231e-06
9.222897e+02,-7.531029e-08
9.288737e+02,1.216369e-06
