vel,flux,err
-1.399696e+03,2.536278e-04,3.000000e-04
-1.393112e+03,3.106197e-04,3.000000e-04
-1.385797e+03,1.848406e-04,3.000000e-04
-1.379213e+03,-3.370542e-04,3.000000e-04
-1.371897e+03,-2.255993e-04,3.000000e-04
-1.365313e+03,-2.310136e-04,3.000000e-04
-1.357997e+03,-1.367846e-04,3.000000e-04
-1.351413e+03,-1.010677e-04,3.000000e-04
-1.344097e+03,5.428326e-04,3.000000e-04
-1.337513e+03,-2.781982e-04,3.000000e-04
-1.330198e+03,-9.695472e-05,3.000000e-04
-1.323614e+03,1.521835e-04,3.000000e-04
-1.316298e+03,5.128416e-04,3.000000e-04
-1.308982e+03,-2.049275e-05,3.000000e-04
-1.302398e+03,1.517332e-04,3.000000e-04
-1.295083e+03,-2.593203e-04,3.000000e-04
-1.288499e+03,-1.975226e-04,3.000000e-04
-1.281183e+03,2.106236e-04,3.000000e-04
-1.274599e+03,2.327509e-05,3.000000e-04
-1.267283e+03,3.947555e-04,3.000000e-04
-1.260699e+03,-5.028721e-05,3.000000e-04
-1.253383e+03,2.546156e-04,3.000000e-04
-1.246799e+03,-7.717209e-05,3.000000e-04
-1.239484e+03,1.174618e-04,3.000000e-04
-1.232900e+03,-6.200282e-05,3.000000e-04
-1.225584e+03,-4.069960e-04,3.000000e-04
-1.219000e+03,4.213762e-04,3.000000e-04
-1.211684e+03,4.436863e-04,3.000000e-04
-1.205100e+03,-3.921475e-04,3.000000e-04
-1.197785e+03,-1.855918e-04,3.000000e-04
-1.190469e+03,7.416451e-05,3.000000e-04
-1.183885e+03,5.095047e-04,3.000000e-04
-1.176569e+03,6.049709e-04,3.000000e-04
-1.169985e+03,1.457477e-04,3.000000e-04
-1.162669e+03,5.349700e-04,3.000000e-04
-1.156085e+03,3.227040e-04,3.000000e-04
-1.148770e+03,-2.051534e-04,3.000000e-04
-1.142186e+03,-2.886377e-04,3.000000e-04
-1.134870e+03,-2.893645e-05,3.000000e-04
-1.128286e+03,1.469787e-04,3.000000e-04
-1.120970e+03,5.917950e-04,3.000000e-04
-1.114386e+03,7.527153e-05,3.000000e-04
-1.107071e+03,6.241764e-04,3.000000e-04
-1.100486e+03,-2.619846e-04,3.000000e-04
-1.093171e+03,2.036507e-04,3.000000e-04
-1.085855e+03,-1.739016e-04,3.000000e-04
-1.079271e+03,-1.072243e-04,3.000000e-04
-1.071955e+03,7.469733e-04,3.000000e-04
-1.065371e+03,2.897470e-05,3.000000e-04
-1.058056e+03,-1.512165e-04,3.000000e-04
-1.051472e+03,4.875425e-04,3.000000e-04
-1.044156e+03,1.614768e-04,3.000000e-04
-1.037572e+03,1.028884e-05,3.000000e-04
-1.030256e+03,-4.269321e-04,3.000000e-04
-1.023672e+03,-1.397003e-04,3.000000e-04
-1.016357e+03,2.578108e-04,3.000000e-04
-1.009772e+03,1.466268e-04,3.000000e-04
-1.002457e+03,5.942237e-05,3.000000e-04
-9.958727e+02,2.195056e-05,3.000000e-04
-9.885571e+02,4.294963e-04,3.000000e-04
-9.812414e+02,-3.491229e-04,3.000000e-04
-9.746573e+02,-1.299091e-04,3.000000e-04
-9.673417e+02,1.556172e-04,3.000000e-04
-9.607576e+02,-2.179920e-04,3.000000e-04
-9.534420e+02,1.047030e-04,3.000000e-04
-9.468579e+02,-9.700510e-06,3.000000e-04
-9.395422e+02,4.110900e-04,3.000000e-04
-9.329582e+02,-4.295163e-04,3.000000e-04
-9.256425e+02,-5.044177e-04,3.000000e-04
-9.190584e+02,9.397117e-06,3.000000e-04
-9.117428e+02,4.269409e-04,3.000000e-04
-9.051587e+02,-3.985388e-04,3.000000e-04
-8.978431e+02,6.830506e-04,3.000000e-04
-8.905274e+02,-3.337431e-05,3.000000e-04
-8.839433e+02,1.740950e-04,3.000000e-04
-8.766277e+02,8.365926e-05,3.000000e-04
-8.700436e+02,9.702239e-05,3.000000e-04
-8.627280e+02,2.864016e-04,3.000000e-04
-8.561439e+02,2.313262e-04,3.000000e-04
-8.488282e+02,5.087805e-04,3.000000e-04
-8.422441e+02,-2.481026e-04,3.000000e-04
-8.349285e+02,3.407958e-04,3.000000e-04
-8.283444e+02,2.202041e-04,3.000000e-04
-8.210288e+02,5.934929e-04,3.000000e-04
-8.144447e+02,-5.287182e-04,3.000000e-04
-8.071290e+02,8.879301e-05,3.000000e-04
-7.998134e+02,3.178808e-04,3.000000e-04
-7.932293e+02,-8.197818e-05,3.000000e-04
-7.859137e+02,4.124231e-04,3.000000e-04
-7.793296e+02,-2.148094e-04,3.000000e-04
-7.720139e+02,5.781676e-05,3.000000e-04
-7.654299e+02,-2.040055e-04,3.000000e-04
-7.581142e+02,1.091744e-04,3.000000e-04
-7.515301e+02,-4.215505e-05,3.000000e-04
-7.442145e+02,-2.169580e-04,3.000000e-04
-7.376304e+02,9.528654e-05,3.000000e-04
-7.303148e+02,-3.575499e-04,3.000000e-04
-7.229991e+02,7.377284e-04,3.000000e-04
-7.164150e+02,-2.102065e-04,3.000000e-04
-7.090994e+02,5.448406e-05,3.000000e-04
-7.025153e+02,-1.209263e-04,3.000000e-04
-6.951997e+02,-3.253052e-04,3.000000e-04
-6.886156e+02,6.071321e-04,3.000000e-04
-6.812999e+02,-1.798590e-04,3.000000e-04
